"payment_month","game_name","language","has_older_device_model","age","mrr","paid_users","arppu","new_paid_users","new_mrr","back_from_churn_users","back_from_churn_mrr","churned_users","churned_revenue","previous_paid_users","previous_mrr","churn_rate","revenue_churn_rate","expansion_mrr","contraction_mrr","net_mrr_growth","lt_months","ltv"
2022-10-01,game 3,uk,true,15,18.84,1,18.84,1,18.84,0,0,0,0,0,0,,,0,0,18.84,,
2022-10-01,game 3,uk,true,18,291.57,5,58.31,0,0,0,0,1,103.62,6,351.42,0.1667,0.2949,99.33,-55.56,-59.85,6.00,349.79
2022-10-01,game 3,uk,true,19,19.65,1,19.65,0,0,1,19.65,0,0,0,0,,,0,0,19.65,,
2022-10-01,game 3,uk,true,20,0,0,,0,0,0,0,1,18.24,1,18.24,1.0000,1.0000,0,0,-18.24,1.00,
2022-10-01,game 3,uk,true,21,126.06,2,63.03,1,69.78,1,56.28,1,19.74,1,19.74,1.0000,1.0000,0,0,106.32,1.00,63.03
2022-10-01,game 3,uk,true,25,23.1,1,23.10,0,0,0,0,0,0,1,18.12,0.0000,0.0000,4.98,0,4.98,,
2022-11-01,game 1,uk,false,26,30.54,1,30.54,1,30.54,0,0,0,0,,,,,0,0,30.54,,
2022-11-01,game 1,uk,true,21,0,0,,0,0,0,0,1,25.71,1,25.71,1.0000,1.0000,0,0,-25.71,1.00,
2022-11-01,game 2,en,false,35,0,0,,0,0,0,0,1,12.69,1,12.69,1.0000,1.0000,0,0,-12.69,1.00,
2022-11-01,game 2,ru,true,21,0,0,,0,0,0,0,1,12.24,1,12.24,1.0000,1.0000,0,0,-12.24,1.00,
2022-11-01,game 2,uk,false,18,0,0,,0,0,0,0,1,36.57,1,36.57,1.0000,1.0000,0,0,-36.57,1.00,
2022-11-01,game 2,uk,false,21,0,0,,0,0,0,0,1,47.46,1,47.46,1.0000,1.0000,0,0,-47.46,1.00,
2022-11-01,game 3,en,false,16,0,0,,0,0,0,0,1,130.92,1,130.92,1.0000,1.0000,0,0,-130.92,1.00,
2022-11-01,game 3,en,false,25,376.56,1,376.56,0,0,0,0,0,0,1,49.08,0.0000,0.0000,327.48,0,327.48,,
2022-11-01,game 3,en,false,28,122.97,1,122.97,0,0,0,0,0,0,1,25.77,0.0000,0.0000,97.20,0,97.20,,
2022-11-01,game 3,ru,false,14,29.22,1,29.22,0,0,0,0,0,0,1,14.91,0.0000,0.0000,14.31,0,14.31,,
2022-11-01,game 3,ru,false,15,152.43,2,76.22,0,0,0,0,0,0,2,183.66,0.0000,0.0000,73.44,-104.67,-31.23,,
2022-11-01,game 3,ru,false,16,270.60,4,67.65,1,119.55,0,0,0,0,3,219.96,0.0000,0.0000,0,-68.91,50.64,,
